table_id,model_key,dataset_id,concept,metric,estimate,ci_low,ci_high,numerator,denominator,execution_status
T3,q25-3,coco,person,wording_IY_minus_WY_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-3,coco,person,mapping_IA_minus_IB_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-3,coco,bottle,wording_IY_minus_WY_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-3,coco,bottle,mapping_IA_minus_IB_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-3,coco,all,median_signed_dose_O_range,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-3,coco,all,median_refit_O_sd,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-3,coco,all,connector_median_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-3,coco,all,median_label_gap,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-7,nih,Effusion,calibration_selectivity,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-7,nih,Effusion,test_ownership_O,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-7,nih,Atelectasis,calibration_selectivity,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-7,nih,Atelectasis,test_ownership_O,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-7,nih,Pneumothorax,calibration_selectivity,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-7,nih,Pneumothorax,test_ownership_O,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-7,nih,Cardiomegaly,calibration_selectivity,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-7,nih,Cardiomegaly,test_ownership_O,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-7,nih,Mass,calibration_selectivity,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-7,nih,Mass,test_ownership_O,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-7,nih,Nodule,calibration_selectivity,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-7,nih,Nodule,test_ownership_O,TBD,TBD,TBD,,,NOT_STARTED
T2,q25-7,nih,all,readable_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-7,nih,all,answer_capable_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-7,nih,all,steering_reference_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-7,nih,all,competitor_wins_among_readable,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-7,chexpert,all,readable_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-7,chexpert,all,answer_capable_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-7,chexpert,all,steering_reference_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-7,chexpert,all,competitor_wins_among_readable,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-7,coco,all,readable_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-7,coco,all,answer_capable_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-7,coco,all,steering_reference_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-7,coco,all,competitor_wins_among_readable,TBD,,,TBD,TBD,NOT_STARTED
T3,q25-7,nih,Effusion,wording_IY_minus_WY_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-7,nih,Effusion,mapping_IA_minus_IB_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-7,nih,Mass,wording_IY_minus_WY_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-7,nih,Mass,mapping_IA_minus_IB_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-7,nih,all,median_signed_dose_O_range,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-7,nih,all,median_refit_O_sd,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-7,nih,all,connector_median_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-7,nih,all,median_label_gap,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-7,chexpert,Effusion,wording_IY_minus_WY_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-7,chexpert,Effusion,mapping_IA_minus_IB_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-7,chexpert,Edema,wording_IY_minus_WY_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-7,chexpert,Edema,mapping_IA_minus_IB_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-7,chexpert,all,median_signed_dose_O_range,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-7,chexpert,all,median_refit_O_sd,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-7,chexpert,all,connector_median_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-7,chexpert,all,median_label_gap,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-7,coco,person,wording_IY_minus_WY_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-7,coco,person,mapping_IA_minus_IB_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-7,coco,bottle,wording_IY_minus_WY_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-7,coco,bottle,mapping_IA_minus_IB_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-7,coco,all,median_signed_dose_O_range,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-7,coco,all,median_refit_O_sd,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-7,coco,all,connector_median_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-7,coco,all,median_label_gap,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-32,nih,Effusion,calibration_selectivity,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-32,nih,Effusion,test_ownership_O,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-32,nih,Atelectasis,calibration_selectivity,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-32,nih,Atelectasis,test_ownership_O,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-32,nih,Pneumothorax,calibration_selectivity,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-32,nih,Pneumothorax,test_ownership_O,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-32,nih,Cardiomegaly,calibration_selectivity,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-32,nih,Cardiomegaly,test_ownership_O,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-32,nih,Mass,calibration_selectivity,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-32,nih,Mass,test_ownership_O,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-32,nih,Nodule,calibration_selectivity,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-32,nih,Nodule,test_ownership_O,TBD,TBD,TBD,,,NOT_STARTED
T2,q25-32,nih,all,readable_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-32,nih,all,answer_capable_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-32,nih,all,steering_reference_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-32,nih,all,competitor_wins_among_readable,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-32,chexpert,all,readable_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-32,chexpert,all,answer_capable_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-32,chexpert,all,steering_reference_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-32,chexpert,all,competitor_wins_among_readable,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-32,coco,all,readable_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-32,coco,all,answer_capable_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-32,coco,all,steering_reference_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-32,coco,all,competitor_wins_among_readable,TBD,,,TBD,TBD,NOT_STARTED
T3,q25-32,nih,Effusion,wording_IY_minus_WY_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-32,nih,Effusion,mapping_IA_minus_IB_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-32,nih,Mass,wording_IY_minus_WY_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-32,nih,Mass,mapping_IA_minus_IB_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-32,nih,all,median_signed_dose_O_range,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-32,nih,all,median_refit_O_sd,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-32,nih,all,connector_median_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-32,nih,all,median_label_gap,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-32,chexpert,Effusion,wording_IY_minus_WY_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-32,chexpert,Effusion,mapping_IA_minus_IB_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-32,chexpert,Edema,wording_IY_minus_WY_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-32,chexpert,Edema,mapping_IA_minus_IB_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-32,chexpert,all,median_signed_dose_O_range,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-32,chexpert,all,median_refit_O_sd,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-32,chexpert,all,connector_median_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-32,chexpert,all,median_label_gap,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-32,coco,person,wording_IY_minus_WY_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-32,coco,person,mapping_IA_minus_IB_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-32,coco,bottle,wording_IY_minus_WY_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-32,coco,bottle,mapping_IA_minus_IB_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-32,coco,all,median_signed_dose_O_range,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-32,coco,all,median_refit_O_sd,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-32,coco,all,connector_median_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-32,coco,all,median_label_gap,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-72,nih,Effusion,calibration_selectivity,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-72,nih,Effusion,test_ownership_O,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-72,nih,Atelectasis,calibration_selectivity,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-72,nih,Atelectasis,test_ownership_O,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-72,nih,Pneumothorax,calibration_selectivity,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-72,nih,Pneumothorax,test_ownership_O,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-72,nih,Cardiomegaly,calibration_selectivity,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-72,nih,Cardiomegaly,test_ownership_O,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-72,nih,Mass,calibration_selectivity,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-72,nih,Mass,test_ownership_O,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-72,nih,Nodule,calibration_selectivity,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-72,nih,Nodule,test_ownership_O,TBD,TBD,TBD,,,NOT_STARTED
T2,q25-72,nih,all,readable_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-72,nih,all,answer_capable_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-72,nih,all,steering_reference_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-72,nih,all,competitor_wins_among_readable,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-72,chexpert,all,readable_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-72,chexpert,all,answer_capable_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-72,chexpert,all,steering_reference_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-72,chexpert,all,competitor_wins_among_readable,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-72,coco,all,readable_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-72,coco,all,answer_capable_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-72,coco,all,steering_reference_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-72,coco,all,competitor_wins_among_readable,TBD,,,TBD,TBD,NOT_STARTED
T3,q25-72,nih,Effusion,wording_IY_minus_WY_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-72,nih,Effusion,mapping_IA_minus_IB_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-72,nih,Mass,wording_IY_minus_WY_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-72,nih,Mass,mapping_IA_minus_IB_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-72,nih,all,median_signed_dose_O_range,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-72,nih,all,median_refit_O_sd,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-72,nih,all,connector_median_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-72,nih,all,median_label_gap,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-72,chexpert,Effusion,wording_IY_minus_WY_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-72,chexpert,Effusion,mapping_IA_minus_IB_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-72,chexpert,Edema,wording_IY_minus_WY_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-72,chexpert,Edema,mapping_IA_minus_IB_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-72,chexpert,all,median_signed_dose_O_range,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-72,chexpert,all,median_refit_O_sd,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-72,chexpert,all,connector_median_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-72,chexpert,all,median_label_gap,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-72,coco,person,wording_IY_minus_WY_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-72,coco,person,mapping_IA_minus_IB_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-72,coco,bottle,wording_IY_minus_WY_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-72,coco,bottle,mapping_IA_minus_IB_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-72,coco,all,median_signed_dose_O_range,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-72,coco,all,median_refit_O_sd,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-72,coco,all,connector_median_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-72,coco,all,median_label_gap,TBD,TBD,TBD,,,NOT_STARTED
T1,q3-4,nih,Effusion,calibration_selectivity,TBD,TBD,TBD,,,NOT_STARTED
T1,q3-4,nih,Effusion,test_ownership_O,TBD,TBD,TBD,,,NOT_STARTED
T1,q3-4,nih,Atelectasis,calibration_selectivity,TBD,TBD,TBD,,,NOT_STARTED
T1,q3-4,nih,Atelectasis,test_ownership_O,TBD,TBD,TBD,,,NOT_STARTED
T1,q3-4,nih,Pneumothorax,calibration_selectivity,TBD,TBD,TBD,,,NOT_STARTED
T1,q3-4,nih,Pneumothorax,test_ownership_O,TBD,TBD,TBD,,,NOT_STARTED
T1,q3-4,nih,Cardiomegaly,calibration_selectivity,TBD,TBD,TBD,,,NOT_STARTED
T1,q3-4,nih,Cardiomegaly,test_ownership_O,TBD,TBD,TBD,,,NOT_STARTED
T1,q3-4,nih,Mass,calibration_selectivity,TBD,TBD,TBD,,,NOT_STARTED
T1,q3-4,nih,Mass,test_ownership_O,TBD,TBD,TBD,,,NOT_STARTED
T1,q3-4,nih,Nodule,calibration_selectivity,TBD,TBD,TBD,,,NOT_STARTED
T1,q3-4,nih,Nodule,test_ownership_O,TBD,TBD,TBD,,,NOT_STARTED
T2,q3-4,nih,all,readable_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q3-4,nih,all,answer_capable_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q3-4,nih,all,steering_reference_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q3-4,nih,all,competitor_wins_among_readable,TBD,,,TBD,TBD,NOT_STARTED
T2,q3-4,chexpert,all,readable_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q3-4,chexpert,all,answer_capable_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q3-4,chexpert,all,steering_reference_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q3-4,chexpert,all,competitor_wins_among_readable,TBD,,,TBD,TBD,NOT_STARTED
T2,q3-4,coco,all,readable_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q3-4,coco,all,answer_capable_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q3-4,coco,all,steering_reference_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q3-4,coco,all,competitor_wins_among_readable,TBD,,,TBD,TBD,NOT_STARTED
T3,q3-4,nih,Effusion,wording_IY_minus_WY_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-4,nih,Effusion,mapping_IA_minus_IB_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-4,nih,Mass,wording_IY_minus_WY_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-4,nih,Mass,mapping_IA_minus_IB_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-4,nih,all,median_signed_dose_O_range,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-4,nih,all,median_refit_O_sd,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-4,nih,all,connector_median_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-4,nih,all,median_label_gap,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-4,chexpert,Effusion,wording_IY_minus_WY_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-4,chexpert,Effusion,mapping_IA_minus_IB_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-4,chexpert,Edema,wording_IY_minus_WY_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-4,chexpert,Edema,mapping_IA_minus_IB_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-4,chexpert,all,median_signed_dose_O_range,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-4,chexpert,all,median_refit_O_sd,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-4,chexpert,all,connector_median_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-4,chexpert,all,median_label_gap,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-4,coco,person,wording_IY_minus_WY_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-4,coco,person,mapping_IA_minus_IB_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-4,coco,bottle,wording_IY_minus_WY_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-4,coco,bottle,mapping_IA_minus_IB_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-4,coco,all,median_signed_dose_O_range,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-4,coco,all,median_refit_O_sd,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-4,coco,all,connector_median_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-4,coco,all,median_label_gap,TBD,TBD,TBD,,,NOT_STARTED
T1,q3-8,nih,Effusion,calibration_selectivity,TBD,TBD,TBD,,,NOT_STARTED
T1,q3-8,nih,Effusion,test_ownership_O,TBD,TBD,TBD,,,NOT_STARTED
T1,q3-8,nih,Atelectasis,calibration_selectivity,TBD,TBD,TBD,,,NOT_STARTED
T1,q3-8,nih,Atelectasis,test_ownership_O,TBD,TBD,TBD,,,NOT_STARTED
T1,q3-8,nih,Pneumothorax,calibration_selectivity,TBD,TBD,TBD,,,NOT_STARTED
T1,q3-8,nih,Pneumothorax,test_ownership_O,TBD,TBD,TBD,,,NOT_STARTED
T1,q3-8,nih,Cardiomegaly,calibration_selectivity,TBD,TBD,TBD,,,NOT_STARTED
T1,q3-8,nih,Cardiomegaly,test_ownership_O,TBD,TBD,TBD,,,NOT_STARTED
T1,q3-8,nih,Mass,calibration_selectivity,TBD,TBD,TBD,,,NOT_STARTED
T1,q3-8,nih,Mass,test_ownership_O,TBD,TBD,TBD,,,NOT_STARTED
T1,q3-8,nih,Nodule,calibration_selectivity,TBD,TBD,TBD,,,NOT_STARTED
T1,q3-8,nih,Nodule,test_ownership_O,TBD,TBD,TBD,,,NOT_STARTED
T2,q3-8,nih,all,readable_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q3-8,nih,all,answer_capable_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q3-8,nih,all,steering_reference_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q3-8,nih,all,competitor_wins_among_readable,TBD,,,TBD,TBD,NOT_STARTED
T2,q3-8,chexpert,all,readable_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q3-8,chexpert,all,answer_capable_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q3-8,chexpert,all,steering_reference_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q3-8,chexpert,all,competitor_wins_among_readable,TBD,,,TBD,TBD,NOT_STARTED
T2,q3-8,coco,all,readable_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q3-8,coco,all,answer_capable_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q3-8,coco,all,steering_reference_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q3-8,coco,all,competitor_wins_among_readable,TBD,,,TBD,TBD,NOT_STARTED
T3,q3-8,nih,Effusion,wording_IY_minus_WY_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-8,nih,Effusion,mapping_IA_minus_IB_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-8,nih,Mass,wording_IY_minus_WY_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-8,nih,Mass,mapping_IA_minus_IB_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-8,nih,all,median_signed_dose_O_range,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-8,nih,all,median_refit_O_sd,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-8,nih,all,connector_median_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-8,nih,all,median_label_gap,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-8,chexpert,Effusion,wording_IY_minus_WY_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-8,chexpert,Effusion,mapping_IA_minus_IB_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-8,chexpert,Edema,wording_IY_minus_WY_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-8,chexpert,Edema,mapping_IA_minus_IB_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-8,chexpert,all,median_signed_dose_O_range,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-8,chexpert,all,median_refit_O_sd,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-8,chexpert,all,connector_median_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-8,chexpert,all,median_label_gap,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-8,coco,person,wording_IY_minus_WY_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-8,coco,person,mapping_IA_minus_IB_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-8,coco,bottle,wording_IY_minus_WY_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-8,coco,bottle,mapping_IA_minus_IB_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-8,coco,all,median_signed_dose_O_range,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-8,coco,all,median_refit_O_sd,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-8,coco,all,connector_median_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q3-8,coco,all,median_label_gap,TBD,TBD,TBD,,,NOT_STARTED
